"filename", "language", "C#", "JSON", "XML", "comment", "blank", "total"
"e:\DragFun\New Unity Project\Assembly-CSharp.csproj", "XML", 0, 0, 789, 7, 2, 798
"e:\DragFun\New Unity Project\Assets\Click2Draw.cs", "C#", 11, 0, 0, 0, 2, 13
"e:\DragFun\New Unity Project\Assets\Click2EndTurn.cs", "C#", 10, 0, 0, 0, 2, 12
"e:\DragFun\New Unity Project\Assets\Datas\Player.json", "JSON", 0, 10, 0, 0, 0, 10
"e:\DragFun\New Unity Project\Assets\EnemyIntention.cs", "C#", 20, 0, 0, 1, 1, 22
"e:\DragFun\New Unity Project\Assets\FuncTest.cs", "C#", 13, 0, 0, 1, 3, 17
"e:\DragFun\New Unity Project\Assets\PPText.cs", "C#", 16, 0, 0, 2, 4, 22
"e:\DragFun\New Unity Project\Assets\Scripts\CardEvent\AfterBuffEvent.cs", "C#", 9, 0, 0, 0, 3, 12
"e:\DragFun\New Unity Project\Assets\Scripts\CardEvent\AfterMoveEvent.cs", "C#", 31, 0, 0, 6, 4, 41
"e:\DragFun\New Unity Project\Assets\Scripts\CardEvent\AfterSummonEvent.cs", "C#", 8, 0, 0, 1, 0, 9
"e:\DragFun\New Unity Project\Assets\Scripts\CardEvent\AttackEvent.cs", "C#", 14, 0, 0, 0, 2, 16
"e:\DragFun\New Unity Project\Assets\Scripts\CardEvent\BeforeDamageEvent.cs", "C#", 16, 0, 0, 3, 1, 20
"e:\DragFun\New Unity Project\Assets\Scripts\CardEvent\BeforeMoveEvent.cs", "C#", 31, 0, 0, 6, 4, 41
"e:\DragFun\New Unity Project\Assets\Scripts\CardEvent\BeforeUseEvent.cs", "C#", 8, 0, 0, 0, 4, 12
"e:\DragFun\New Unity Project\Assets\Scripts\CardEvent\CardEvent.cs", "C#", 31, 0, 0, 0, 4, 35
"e:\DragFun\New Unity Project\Assets\Scripts\CardEvent\DeathEvent.cs", "C#", 6, 0, 0, 1, 1, 8
"e:\DragFun\New Unity Project\Assets\Scripts\CardEvent\EndTurnEvent.cs", "C#", 4, 0, 0, 0, 0, 4
"e:\DragFun\New Unity Project\Assets\Scripts\CardEvent\GameEventListenser.cs", "C#", 22, 0, 0, 1, 0, 23
"e:\DragFun\New Unity Project\Assets\Scripts\CardEvent\HealEvent.cs", "C#", 8, 0, 0, 0, 1, 9
"e:\DragFun\New Unity Project\Assets\Scripts\CardEvent\UsePPEvent.cs", "C#", 10, 0, 0, 0, 1, 11
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Enemy\BombMom.cs", "C#", 35, 0, 0, 0, 1, 36
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Enemy\PlainEnemy.cs", "C#", 14, 0, 0, 0, 3, 17
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Enemy\Shaman.cs", "C#", 71, 0, 0, 3, 5, 79
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Enemy\Slime.cs", "C#", 34, 0, 0, 0, 2, 36
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\FriendlyDerive\SpellWreck.cs", "C#", 19, 0, 0, 1, 3, 23
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\AngerTotem.cs", "C#", 19, 0, 0, 0, 1, 20
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\AutoBattery.cs", "C#", 20, 0, 0, 0, 1, 21
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\BlackRockTower.cs", "C#", 19, 0, 0, 0, 2, 21
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\Fairy\Captain.cs", "C#", 19, 0, 0, 0, 2, 21
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\Fairy\Fairy.cs", "C#", 19, 0, 0, 0, 2, 21
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\Haniwa\CreatureMaster.cs", "C#", 12, 0, 0, 2, 5, 19
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\Haniwa\RiderHaniwa.cs", "C#", 23, 0, 0, 0, 7, 30
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\Haniwa\SoldierHaniwa.cs", "C#", 24, 0, 0, 0, 5, 29
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\Kappa\FinalMachine.cs", "C#", 19, 0, 0, 0, 2, 21
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\Kappa\GoblinPirateQueen.cs", "C#", 12, 0, 0, 2, 5, 19
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\Kappa\IncrementMatrix.cs", "C#", 19, 0, 0, 0, 1, 20
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\Kappa\JetBoy.cs", "C#", 20, 0, 0, 0, 3, 23
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\Kappa\JetLeader.cs", "C#", 19, 0, 0, 0, 1, 20
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\OldAss.cs", "C#", 18, 0, 0, 4, 0, 22
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\PalaDin.cs", "C#", 18, 0, 0, 0, 2, 20
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Monster\Waiver.cs", "C#", 20, 0, 0, 0, 2, 22
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Sample\Battlefury.cs", "C#", 17, 0, 0, 0, 2, 19
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Sample\Harvester.cs", "C#", 18, 0, 0, 0, 2, 20
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Sample\MrsDead.cs", "C#", 20, 0, 0, 0, 2, 22
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Sample\Queen.cs", "C#", 18, 0, 0, 0, 3, 21
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Sample\RedEye.cs", "C#", 19, 0, 0, 0, 2, 21
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Sample\Spike.cs", "C#", 18, 0, 0, 0, 2, 20
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Sample\Strike.cs", "C#", 16, 0, 0, 0, 2, 18
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Special\JetBuffer.cs", "C#", 17, 0, 0, 0, 3, 20
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Spell\AddResonanceBuff.cs", "C#", 16, 0, 0, 0, 1, 17
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Spell\Fairy\FairyCall.cs", "C#", 16, 0, 0, 0, 3, 19
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Spell\FrontlineSupport.cs", "C#", 15, 0, 0, 0, 3, 18
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Spell\JetBuff.cs", "C#", 16, 0, 0, 0, 2, 18
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Spell\Normal\HurtTest.cs", "C#", 16, 0, 0, 0, 2, 18
"e:\DragFun\New Unity Project\Assets\Scripts\CardLibrary\Spell\Recast.cs", "C#", 16, 0, 0, 1, 1, 18
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\BaseDefine\Card.cs", "C#", 135, 0, 0, 14, 8, 157
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\BaseDefine\CardInfo.cs", "C#", 10, 0, 0, 0, 3, 13
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\BaseDefine\EnemyCardInfo.cs", "C#", 6, 0, 0, 0, 3, 9
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\BaseDefine\MonsterCardInfo.cs", "C#", 24, 0, 0, 0, 7, 31
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\BaseDefine\PlayerInfo.cs", "C#", 14, 0, 0, 0, 3, 17
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\BaseDefine\SpellCardInfo.cs", "C#", 8, 0, 0, 0, 3, 11
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\CardStore.cs", "C#", 92, 0, 0, 58, 6, 156
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\ActionComponent.cs", "C#", 115, 0, 0, 1, 8, 124
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\AttackComponent.cs", "C#", 77, 0, 0, 2, 10, 89
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\AttackedComponent.cs", "C#", 122, 0, 0, 19, 9, 150
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\Attributes\CanRepeatAttribute.cs", "C#", 29, 0, 0, 0, 4, 33
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\Attributes\RequireCardComponentAttribute.cs", "C#", 53, 0, 0, 0, 3, 56
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\CardComponent.cs", "C#", 14, 0, 0, 0, 7, 21
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\DeadComponent.cs", "C#", 21, 0, 0, 0, 0, 21
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\EndTurnTriggerComponent.cs", "C#", 12, 0, 0, 0, 3, 15
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\EnemyAction.cs", "C#", 32, 0, 0, 3, 6, 41
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\EventListenerComponent.cs", "C#", 25, 0, 0, 0, 3, 28
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\FieldComponnet.cs", "C#", 56, 0, 0, 6, 6, 68
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\HaloComponent.cs", "C#", 62, 0, 0, 12, 20, 94
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\ResonanceComponent.cs", "C#", 38, 0, 0, 0, 4, 42
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\SpellCastComponent.cs", "C#", 60, 0, 0, 0, 7, 67
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\SummonComponent.cs", "C#", 66, 0, 0, 0, 8, 74
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\UseComponent.cs", "C#", 76, 0, 0, 1, 8, 85
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Components\WreckComponent.cs", "C#", 38, 0, 0, 1, 2, 41
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\DamageInfo.cs", "C#", 24, 0, 0, 0, 2, 26
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Enum\BattleState.cs", "C#", 6, 0, 0, 0, 0, 6
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Enum\CardCamp.cs", "C#", 5, 0, 0, 0, 1, 6
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Enum\CardRace.cs", "C#", 6, 0, 0, 0, 4, 10
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Enum\CardRarity.cs", "C#", 5, 0, 0, 0, 1, 6
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Enum\CardTarget.cs", "C#", 14, 0, 0, 90, 7, 111
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Enum\CardTargetUtility.cs", "C#", 36, 0, 0, 4, 7, 47
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Enum\CardType.cs", "C#", 11, 0, 0, 0, 0, 11
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Enum\RangeType.cs", "C#", 10, 0, 0, 0, 1, 11
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\EventListener\BuffByBoardAtkCountListener.cs", "C#", 43, 0, 0, 0, 3, 46
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\EventListener\EnemyEffectListener.cs", "C#", 69, 0, 0, 1, 10, 80
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\EventListener\ExtraRangeSummonListener.cs", "C#", 28, 0, 0, 0, 3, 31
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\EventListener\HaniwaOnBoardBuff.cs", "C#", 33, 0, 0, 1, 3, 37
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\EventListener\MatrixListener.cs", "C#", 17, 0, 0, 0, 3, 20
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\EventListener\OnMoveBuffListener.cs", "C#", 27, 0, 0, 0, 2, 29
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\EventListener\SelfAttackListener.cs", "C#", 30, 0, 0, 0, 3, 33
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\Player.cs", "C#", 38, 0, 0, 0, 7, 45
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\PlayerVisual.cs", "C#", 19, 0, 0, 0, 3, 22
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\SelectorEffect\AddArmour.cs", "C#", 38, 0, 0, 3, 2, 43
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\SelectorEffect\AddAtkRange.cs", "C#", 36, 0, 0, 4, 2, 42
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\SelectorEffect\AddDeadEffect.cs", "C#", 32, 0, 0, 1, 5, 38
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\SelectorEffect\AddResonanceBuff.cs", "C#", 32, 0, 0, 5, 2, 39
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\SelectorEffect\CardEffect.cs", "C#", 62, 0, 0, 0, 8, 70
"e:\DragFun\New Unity Project\Assets\Scripts\Cards\SelectorEffect\EnemyEffect\BasicBuff.cs", "C#", 26, 0, 0, 0, 1, 27
